Driver,LapNumber,LapTime,Compound,TyreLife
VER,1.0,0 days 00:01:35.505000,MEDIUM,1.0
VER,2.0,0 days 00:01:34.205000,MEDIUM,2.0
VER,3.0,0 days 00:01:34.043000,MEDIUM,3.0
VER,4.0,0 days 00:01:33.754000,MEDIUM,4.0
VER,5.0,0 days 00:01:33.955000,MEDIUM,5.0
VER,6.0,0 days 00:01:33.676000,MEDIUM,6.0
VER,7.0,0 days 00:02:02.919000,MEDIUM,7.0
VER,8.0,,HARD,1.0
VER,9.0,,HARD,2.0
VER,10.0,0 days 00:01:35.024000,HARD,3.0
VER,11.0,0 days 00:01:33.610000,HARD,4.0
VER,12.0,0 days 00:01:33.321000,HARD,5.0
VER,13.0,0 days 00:01:33.144000,HARD,6.0
VER,14.0,0 days 00:01:33.194000,HARD,7.0
VER,15.0,0 days 00:01:33.512000,HARD,8.0
VER,16.0,0 days 00:01:33.192000,HARD,9.0
VER,17.0,0 days 00:01:33.059000,HARD,10.0
VER,18.0,0 days 00:01:33.139000,HARD,11.0
VER,19.0,0 days 00:01:33.135000,HARD,12.0
VER,20.0,0 days 00:01:33.066000,HARD,13.0
VER,21.0,0 days 00:01:32.933000,HARD,14.0
VER,22.0,0 days 00:01:32.980000,HARD,15.0
VER,23.0,0 days 00:01:32.792000,HARD,16.0
VER,24.0,0 days 00:01:32.683000,HARD,17.0
VER,25.0,0 days 00:01:32.785000,HARD,18.0
VER,26.0,0 days 00:01:32.561000,HARD,19.0
VER,27.0,0 days 00:01:32.722000,HARD,20.0
VER,28.0,0 days 00:01:32.674000,HARD,21.0
VER,29.0,0 days 00:01:32.752000,HARD,22.0
VER,30.0,0 days 00:01:32.601000,HARD,23.0
VER,31.0,0 days 00:01:32.454000,HARD,24.0
VER,32.0,0 days 00:01:32.545000,HARD,25.0
VER,33.0,0 days 00:01:32.309000,HARD,26.0
VER,34.0,0 days 00:01:32.558000,HARD,27.0
VER,35.0,0 days 00:01:32.536000,HARD,28.0
VER,36.0,0 days 00:01:32.413000,HARD,29.0
VER,37.0,0 days 00:01:32.412000,HARD,30.0
VER,38.0,0 days 00:01:32.296000,HARD,31.0
VER,39.0,0 days 00:01:31.995000,HARD,32.0
VER,40.0,0 days 00:01:32.555000,HARD,33.0
VER,41.0,0 days 00:01:32.491000,HARD,34.0
VER,42.0,0 days 00:01:33.013000,HARD,35.0
VER,43.0,0 days 00:01:33.123000,HARD,36.0
VER,44.0,0 days 00:01:32.377000,HARD,37.0
VER,45.0,0 days 00:01:33.010000,HARD,38.0
VER,46.0,0 days 00:01:32.889000,HARD,39.0
VER,47.0,0 days 00:01:32.784000,HARD,40.0
VER,48.0,0 days 00:01:32.563000,HARD,41.0
VER,49.0,0 days 00:01:32.163000,HARD,42.0
VER,50.0,0 days 00:01:31.773000,HARD,43.0
GAS,1.0,0 days 00:02:01.453000,MEDIUM,1.0
PER,1.0,0 days 00:01:37.222000,MEDIUM,1.0
PER,2.0,0 days 00:01:34.515000,MEDIUM,2.0
