DriverNumber,BroadcastName,Abbreviation,TeamName,Q1,Q2,Q3
1,M VERSTAPPEN,VER,Red Bull Racing,0 days 00:01:28.171000,0 days 00:01:28.033000,0 days 00:01:27.472000
16,C LECLERC,LEC,Ferrari,0 days 00:01:28.318000,0 days 00:01:28.112000,0 days 00:01:27.791000
11,S PEREZ,PER,Red Bull Racing,0 days 00:01:28.638000,0 days 00:01:28.467000,0 days 00:01:27.807000
14,F ALONSO,ALO,Aston Martin,0 days 00:01:28.706000,0 days 00:01:28.122000,0 days 00:01:27.846000
81,O PIASTRI,PIA,McLaren,0 days 00:01:28.755000,0 days 00:01:28.343000,0 days 00:01:28.089000
4,L NORRIS,NOR,McLaren,0 days 00:01:28.805000,0 days 00:01:28.479000,0 days 00:01:28.132000
63,G RUSSELL,RUS,Mercedes,0 days 00:01:28.749000,0 days 00:01:28.448000,0 days 00:01:28.316000
44,L HAMILTON,HAM,Mercedes,0 days 00:01:28.994000,0 days 00:01:28.606000,0 days 00:01:28.460000
22,Y TSUNODA,TSU,RB,0 days 00:01:28.988000,0 days 00:01:28.564000,0 days 00:01:28.547000
18,L STROLL,STR,Aston Martin,0 days 00:01:28.250000,0 days 00:01:28.578000,0 days 00:01:28.572000
38,O BEARMAN,BEA,Ferrari,0 days 00:01:28.984000,0 days 00:01:28.642000,
23,A ALBON,ALB,Williams,0 days 00:01:29.107000,0 days 00:01:28.980000,
20,K MAGNUSSEN,MAG,Haas F1 Team,0 days 00:01:29.069000,0 days 00:01:29.020000,
3,D RICCIARDO,RIC,RB,0 days 00:01:29.065000,0 days 00:01:29.025000,
27,N HULKENBERG,HUL,Haas F1 Team,0 days 00:01:29.055000,,
77,V BOTTAS,BOT,Kick Sauber,0 days 00:01:29.179000,,
31,E OCON,OCO,Alpine,0 days 00:01:29.475000,,
10,P GASLY,GAS,Alpine,0 days 00:01:29.479000,,
2,L SARGEANT,SAR,Williams,0 days 00:01:29.526000,,
24,G ZHOU,ZHO,Kick Sauber,,,
